fire_name,city,start_date,end_date,acres_burned
 Bridge Fire,Shasta Lake,2017-10-31,2018-01-09,37
Campbell Fire,Forest Ranch,2014-01-02,2014-01-10,865
Colby Fire,Glendora,2014-01-16,2014-01-27,1952
Red Fire,Willow Creek,2014-01-04,2014-01-08,333
Lake Fire,Squaw Valley,2014-01-25,2014-01-26,106
Gun Fire,Pine Valley,2014-03-08,2014-03-11,125
Encinal Fire,Chualar,2014-03-19,2014-03-21,400
Van Buren Fire,Vista Santa Rosa,2014-03-28,2014-03-29,57
Bridges Fire,Bishop,2014-04-19,2014-04-21,113
Etiwanda Fire,Rancho Cucamonga,2014-04-30,2014-05-05,2143
Bernardo Fire,Rancho Penasquitos,2014-05-13,2014-05-17,1548
San Lucas Fire,King City,2014-04-30,2014-05-01,75
Miguelito Fire,Lompoc,2014-05-13,2014-05-19,632
Tomahawk Fire,Fallbrook,2014-05-14,2014-05-19,5367
San Mateo Fire,San Clemente,2014-05-16,2014-05-20,1457
Highway Fire,Bonsall,2014-05-14,2014-05-15,380
Fiddler Fire,Shasta,2014-05-14,2014-05-15,50
Cocos Fire,San Marcos,2014-05-14,2014-05-22,1995
Poinsettia Fire,Lake San Marcos,2014-05-14,2014-05-17,600
Indian Fire,Clearlake Oaks,2014-05-25,2014-05-26,175
59 Fire,Jamestown,2014-06-04,2014-06-05,402
Hetch Hetchy Fire,Jamestown,2014-06-05,2014-06-06,269
Hall Fire,Squaw Valley,2014-06-11,2014-06-09,25
Morgan Fire,Auberry,2014-06-09,2014-06-11,40
Haigh Fire,Tuolumne City,2014-06-10,2014-06-13,130
Shirley Fire,Alta Sierra,2014-06-13,2014-06-20,3895
Tehama Fire,Rancho Tehama Reserve,2014-06-13,2014-06-13,225
Oak Fire,Copperopolis,2014-06-22,2014-06-24,85
Butts Fire,Angwin,2014-07-01,2014-07-09,4300
Bible Fire,Somerset,2014-07-09,2014-07-09,30
Bully Fire,Lewiston,2014-07-11,2014-07-26,12661
Monticello Fire,Winters,2014-07-04,2014-07-12,6488
Gulch Fire,Alturas,2014-07-03,2014-07-07,1469
Modoc Lightning Complex,Alturas,2014-07-01,2014-07-03,1651
West Fire,Hayfork,2014-07-01,2014-07-03,15
Banner Fire,Julian,2014-07-03,2014-07-06,217
Marsh Fire,Tracy,2014-07-11,2014-07-12,80
Cassel Fire,Chester,2014-07-05,2014-07-08,75
Interlake Fire,Lake Nacimiento,2014-07-07,2014-07-08,47
Hutto Fire,Penn Valley,2014-07-07,2014-07-08,38
Dry Fire,Bella Vista,2014-07-09,2014-07-10,143
Nicolls Fire ,Weldon,2014-07-11,2014-07-21,1680
Wildlife Fire,Thermalito,2014-07-14,2014-07-16,72
Sand Fire,Deer Park,2014-07-25,2014-08-02,4240
Bald Fire,Burney,2014-07-30,2014-08-15,39736
Day Fire,Burney,2014-07-30,2014-08-13,13153
Oregon Gulch Fire (part of the Beaver Complex),Montague,2014-07-30,2014-08-18,35302
Eiler Fire,Burney,2014-07-31,2014-08-25,32416
Coffee Fire,Weaverville,2014-07-30,2014-11-14,6258
Little Deer Fire,Weed,2014-07-31,2014-08-18,5503
Junction Fire,Oakhurst,2014-08-18,2014-08-25,612
Little Fire,Alturas,2014-08-12,2014-08-13,101
Shoemaker Fire,San Dimas,2014-08-14,2014-12-12,190
Tecolote Fire,Glendora,2014-08-17,2014-12-12,274
Boca Fire,Truckee,2014-08-18,2014-08-19,84
Way Fire,Wofford Heights,2014-08-18,2014-08-27,4045
Oregon Fire,Weaverville,2014-08-24,2014-08-28,461
Gulch Fire,Bella Vista,2014-09-10,2014-09-16,1375
Jackson Fire,Jamestown,2014-09-04,2014-09-05,70
Bald Hill 3 Fire,Willow Creek,2014-09-12,2014-09-15,210
Stage Coach Fire,Angwin,2014-09-11,2014-09-15,27
King Fire,Pollock Pines,2014-09-13,2014-10-09,97717
Stephens Fire,McCloud,2015-02-24,2015-03-02,200
Silverado Fire,Portola Hills,2014-09-12,2014-09-22,968
Dog Bar Fire,Colfax,2014-09-13,2014-09-18,247
Courtney Fire,Oakhurst,2014-09-14,2014-09-22,320
Boles Fire,Weed,2014-09-15,2014-10-11,516
Bane Fire,Los Serranos,2014-10-16,2014-10-17,48
Irene Fire,South Lake Tahoe,2014-09-14,2014-09-17,94
Cascade Fire,South Lake Tahoe,2014-09-25,2014-09-25,20
Otay Fire,La Presa,2015-06-26,2015-06-26,80
Ward Fire,East Quincy,2015-04-13,2015-04-18,137
Highway Fire,Corona,2015-04-18,2015-04-24,1049
Forebay Fire,Gustine,2015-05-11,2015-05-11,692
Bald Fire,Willow Creek,2015-06-10,2015-06-11,20
Saddle Fire ,Weaverville,2015-06-10,2015-06-29,1542
Pass Fire,Shandon,2015-06-15,2015-06-15,67
Chiles Fire,Angwin,2015-06-16,2015-06-17,38
North Fire,Dogtown,2015-06-16,2015-06-17,60
Fork Fire,Rancho Tehama Reserve,2015-06-17,2015-06-17,55
Wildcat Fire,San Diego Country Estates,2015-06-17,2015-06-19,171
Lake Fire,Big Bear Lake,2015-06-17,2015-08-01,31359
Cook Fire,Lake Wildwood,2015-06-18,2015-06-22,158
Corrine Fire,Auberry,2015-06-18,2015-06-25,920
Red Fire,Yosemite Lakes,2015-06-21,2015-06-23,135
Dixie Fire,Westwood,2015-06-19,2015-06-20,60
Loma Fire,Antioch,2015-06-24,2015-06-25,533
Calgrove Fire ,Santa Clarita,2015-06-24,2015-06-26,415
Sterling Fire,Highland,2015-06-25,2015-06-29,100
Pleasure Fire,Winters,2015-06-27,2015-06-28,19
Covelo Fire,Covelo,2015-06-28,2015-06-29,35
Black Fire,Rancho Tehama Reserve,2015-07-04,2015-07-04,170
Soda Fire,Boonville,2015-07-04,2015-07-05,23
Sky Fire,Vacaville,2015-07-06,2015-07-08,150
Ascot Fire,Benicia,2015-07-10,2015-07-10,40
Keswick Fire,Redding,2015-07-07,2015-07-08,18
Mill 2 Fire,Yucaipa,2015-07-12,2015-07-21,54
Deer Fire,Lake Nacimiento,2015-07-10,2015-07-15,95
Spider Fire,Sunnyslope,2015-07-12,2015-07-12,21
241 Fire,Stonegate,2015-07-13,2015-07-15,214
Cooley Fire,Montague,2015-07-13,2015-07-14,181
Lake Fire,Julian,2015-07-16,2015-07-17,25
North Fire,Oak Hills,2015-07-17,2015-07-21,4250
Pines Fire ,Wrightwood,2015-07-17,2015-08-04,200
Betabel Fire,San Juan Bautista,2015-07-20,2015-07-20,25
Triple Fire,East Porterville,2015-07-21,2015-07-26,430
Wragg Fire,Winters,2015-07-22,2015-08-05,8051
Creek Fire,Yountville,2016-10-10,2016-10-12,65
Baxter Fire,Newcastle,2015-07-22,2015-07-22,26
Kyburz Fire,Pollock Pines,2015-07-23,2015-07-29,75
3-11 Fire,Burney,2015-07-23,2015-07-26,116
3-12 Fire,Westwood,2015-07-23,2015-07-25,77
Cutca Fire,Aguanga,2015-07-24,2015-07-26,167
Park Fire,Campo,2015-07-24,2015-07-25,25
Lowell Fire,Colfax,2015-07-25,2015-08-12,2304
Queen Fire,Willow Creek,2015-07-24,2015-08-01,158
Willow Fire,Oakhurst,2015-07-25,2015-08-13,5702
Mark Fire,Angels Camp,2015-08-13,2015-08-18,114
Sullivan Fire,Newman,2015-07-28,2015-07-28,40
Buck Fire,Redway,2015-07-28,2015-07-31,16
Cabin Fire,Three Rivers,2015-07-19,2015-09-05,6980
Swedes Fire,Oroville East,2015-07-29,2015-08-03,400
Rocky Fire,Hidden Valley Lake,2015-07-29,2015-08-14,69636
Mallard Fire,Palo Cedro,2015-07-29,2015-07-31,75
China Fire,Anderson,2015-07-29,2015-08-01,212
Big Creek Fire,Tuolumne City,2015-07-29,2015-08-04,204
Tulloch Fire,Copperopolis,2015-08-15,2015-08-16,112
Vasco Fire,Byron,2015-07-30,2015-07-30,195
Sprig Fire,Palo Cedro,2015-07-30,2015-07-31,90
Advance Fire,Three Rivers,2015-07-30,2015-08-05,86
Mendocino Lightning Fires,Willits,2015-07-30,2015-08-03,50
Anza Fire,Anza,2015-08-10,2015-08-15,500
Frog Fire,Burney,2015-07-30,2015-07-31,4863
Fern Fire,Shingletown,2015-08-02,2015-08-04,75
White Fire,Santa Maria,2015-08-01,2015-08-03,52
Francis Fire,Lake Wildwood,2015-08-03,2015-08-05,30
Point Fire,Anderson,2015-08-03,2015-08-04,59
Dodge Fire,Alturas,2015-08-03,2015-08-04,10570
De Luz Fire,Fallbrook,2015-08-09,2015-08-10,55
36 Fire,Shingletown,2015-08-08,2015-08-09,110
Jerusalem Fire,Hidden Valley Lake,2015-08-09,2015-08-25,25118
Cuesta Fire,Santa Margarita,2015-08-16,2015-08-28,2446
Horse Fire,Redway,2015-08-18,2015-08-29,146
Tesla Fire,Patterson,2015-08-19,2015-08-22,2850
Grade Fire,Hidden Valley Lake,2015-08-24,2015-08-25,22
Peterson Fire,Kelseyville,2015-08-22,2015-08-27,215
Summit Fire,Big Bear Lake,2015-08-23,2015-09-11,55
Democrat Fire,Weaverville,2015-08-25,2015-08-29,128
Kramer Fire ,Burney,2015-08-29,2015-08-30,30
Oak Fire,Cedar Ridge,2015-09-08,2015-09-15,108
Center Fire,Johnstonville,2015-09-09,2015-09-10,40
Creek Fire,Johnstonville,2015-09-09,2015-09-11,170
Butte Fire,Jackson,2015-09-09,2015-10-15,70868
Lumpkin Fire,Challenge-Brownsville,2015-09-11,2015-09-17,1040
Walker Fire,Shasta,2015-09-11,2015-09-13,109
Munjar Fire,Chico,2015-10-02,2015-10-02,104
Rough Fire ,Squaw Valley,2015-07-31,2015-11-09,151623
Taglio Fire,Gustine,2016-04-24,2016-04-24,30
Solimar Fire,Ventura,2015-12-25,2015-12-29,1388
Potrero Fire,Thousand Oaks,2015-11-07,2015-11-07,50
Cienega Fire,Ridgemark,2015-10-12,2015-10-16,690
Gibraltar Fire,Montecito,2015-10-29,2015-11-09,21
McCourtney Fire,Penn Valley,2015-09-22,2015-09-21,30
Tassajara Fire,Gonzales,2015-09-19,2015-09-27,1086
Laureles Fire,Carmel Valley Village,2015-09-19,2015-09-21,95
Tulloch Fire,Jamestown,2016-05-30,2016-06-01,85
Metz Fire,Greenfield,2016-05-22,2016-05-25,3876
Wheatland Fire,Shadow Hills,2016-05-23,2016-05-25,156
DeWolf Fire,Clovis,2016-05-25,2016-05-25,278
Coe Fire,San Martin,2016-06-07,2016-06-09,120
Dunstone Fire,Gridley,2016-05-27,2016-05-27,91
70 Fire,Thermalito,2016-05-29,2016-05-29,30
Shedd Fire,Shandon,2016-05-10,2016-05-10,150
Bryson Fire,Lake Nacimiento,2016-05-12,2016-05-12,25
Avocado Fire,Minkler,2016-05-15,2016-05-17,132
Athens Fire,Lincoln,2016-05-17,2016-05-19,169
Pala Fire,Rainbow,2016-05-31,2016-06-07,70
Coal Fire,Thermalito,2016-06-20,2016-06-20,112
Frazier Fire,Lake Nacimiento,2016-06-27,2016-06-29,86
Campo Fire,Valley Springs,2016-06-27,2016-06-30,33
Paskenta Fire,Rancho Tehama Reserve,2016-06-21,2016-06-21,43
Moore Fire,Lincoln,2016-06-21,2016-06-21,88
Aukum Fire,Somerset,2016-06-03,2016-06-04,25
Hidden Fire,Ridgemark,2016-06-03,2016-06-03,30
Clay Fire,Clay,2016-06-03,2016-06-03,32
Temecula Fire,Temecula,2016-06-04,2016-06-07,139
Coleman Fire,King City,2016-06-04,2016-06-20,2520
Keswick Fire,Shasta,2016-06-11,2016-06-12,24
Camanche Fire,Ione,2016-06-17,2016-06-21,210
Arroyo Fire,Greenfield,2016-06-18,2016-06-20,70
Hoag Fire,Chico,2016-06-11,2016-06-11,80
Cotton Fire,Shandon,2016-06-11,2016-06-12,61
Old Fire,Greenfield,2016-06-12,2016-06-12,83
Pony Fire,Happy Camp,2016-06-07,2016-11-08,2860
Sherpa Fire,Mission Canyon,2016-06-15,2016-07-12,7474
Creek Fire,Esparto,2016-06-26,2016-06-27,277
70 Fire,Palermo,2016-06-21,2016-06-21,49
Erskine Fire,Lake Isabella,2016-06-23,2016-07-11,48019
Lowe Fire,King City,2016-06-23,2016-06-24,52
Dinosaur Fire,Gustine,2016-06-25,2016-06-26,1246
Laguna Fire,Laguna Beach,2016-06-26,2016-06-29,47
Grant Fire,Mountain House,2016-06-25,2016-06-26,211
Marina Fire,Bridgeport,2016-06-25,2016-07-09,650
Reservoir Fire,Clearlake Oaks,2016-06-26,2016-06-28,215
Trailhead Fire,Auburn Lake Trails,2016-06-28,2016-07-18,5645
Rancho Fire,Ione,2016-06-28,2016-06-29,372
Big Fire,Auberry,2016-07-11,2016-07-13,188
Sage Fire,Stevenson Ranch,2016-07-09,2016-07-16,1100
Fiddler Fire,Shasta,2016-07-08,2016-07-12,303
Colyear Fire,Rancho Tehama Reserve,2016-06-30,2016-07-04,464
Deer Fire,Arvin,2016-07-01,2016-07-08,1785
Pine Fire,Pine Mountain Club,2016-06-30,2016-06-30,2304
Flores Fire,Gerber,2016-07-01,2016-07-01,88
Curry Fire,Coalinga,2016-07-01,2016-07-05,2944
Lone Pine Fire,Lone Pine,2016-07-01,2016-07-02,30
Appaloosa Fire,Copperopolis,2016-07-02,2016-07-08,310
Scott Fire,Rancho Murieta,2016-07-10,2016-07-11,87
Frame Fire,Coalinga,2016-07-04,2016-07-07,145
Broken Fire,Coarsegold,2016-07-04,2016-07-06,103
Kuehner Fire,Chatsworth,2016-07-01,2016-07-01,45
Shelter Fire,Julian,2016-07-11,2016-07-12,15
Pacheco Fire,Rancho Calaveras,2016-07-12,2016-07-16,341
Stagecoach Fire,Copperopolis,2016-07-12,2016-07-13,35
Dunnigan Fire,Dunnigan,2016-07-15,2016-07-15,84
Onyx Fire,Weldon,2016-07-13,2016-07-14,221
Sherwood Fire,Auberry,2016-07-13,2016-07-15,78
Famoso Fire,Oildale,2016-07-15,2016-07-16,138
Green Fire,Auberry,2016-07-15,2016-07-16,123
Feather Fire,San Diego Country Estates,2016-07-18,2016-07-20,100
Foothill Fire,Lucerne,2016-07-19,2016-07-22,69
Bailey Fire,Yreka,2016-07-19,2016-07-20,26
Goose Fire,Auberry,2016-07-30,2016-08-09,2241
Baker Fire,Copperopolis,2016-07-21,2016-07-22,57
Oak Fire,Vacaville,2016-07-22,2016-07-22,57
Roblar Fire,Camp Pendleton North,2016-07-21,2016-07-30,1245
Table Fire,Montague,2016-07-21,2016-07-22,23
Bradley Fire,Lake Nacimiento,2016-07-22,2016-07-23,100
Soberanes Fire,Carmel-by-the-Sea,2016-07-22,2016-10-13,132127
Holy Fire,Trabuco Canyon,2016-08-31,2016-09-05,150
Ken Fire,Oak Hills,2016-09-03,2016-09-04,20
Saddle Fire,Paradise,2016-09-05,2016-09-12,800
Ruff Fire ,Laytonville,2016-09-10,2016-09-15,50
Spring Fire,Crestline,2016-09-07,2016-09-09,50
Phoenix Fire,Truckee,2016-09-07,2016-09-08,38
Lake Fire,Central Valley (historical),2016-09-10,2016-09-12,75
Storksbill Fire,Cool,2016-07-22,2016-07-23,50
Rock Fire,Poway,2016-07-22,2016-07-24,28
Franklin Fire,Crockett,2016-07-24,2016-07-24,40
Fork Fire,Auberry,2016-07-29,2016-07-31,38
Frymire Fire,East Oakdale,2016-07-30,2016-08-01,32
Sierra Fire,East Foothills,2016-07-30,2016-07-31,114
Gopher Fire,Hidden Meadows,2016-08-10,2016-08-11,35
Baker Fire,Red Bluff,2016-08-03,2016-08-04,80
99 Fire,Durham,2016-08-02,2016-08-03,520
Cold Fire,Winters,2016-08-02,2016-08-12,5731
Hart Fire,Bear Valley Springs,2016-08-04,2016-08-07,100
Grub Fire,Ahwahnee,2016-08-04,2016-08-06,85
Deer Fire,Valley Springs,2016-08-05,2016-08-06,26
Oak Fire,Morgan Hill,2016-08-12,2016-08-14,25
Pilot Fire,Crestline,2016-08-07,2016-08-16,8110
Kugelman Fire,Coalinga,2016-08-09,2016-08-10,45
Knoxville Fire,Angwin,2016-08-09,2016-08-10,36
Mineral Fire,Coalinga,2016-08-08,2016-08-18,7050
Blue Cut Fire,Oak Hills,2016-08-16,2016-08-23,36274
Mountain Fire,Shasta,2016-08-09,2016-08-10,35
Summit Fire,Willow Creek,2016-08-12,2016-08-19,21
Chimney Fire,Lake Nacimiento,2016-08-13,2016-09-06,46235
Clayton Fire,Lower Lake,2016-08-13,2016-08-26,3929
Cedar Fire,Alta Sierra,2016-08-16,2016-10-01,29322
Stafford Fire,Rio Dell,2016-08-11,2016-08-16,23
Boys Fire,Rancho Murieta,2016-09-11,2016-09-12,40
Sunny Fire,Squaw Valley,2016-09-03,2016-09-06,158
Oak Fire,Morgan Hill,2016-09-01,2016-09-02,25
Beale Fire,Greenfield,2016-08-18,2016-08-18,389
Mina Fire,Laytonville,2016-08-30,2016-08-31,36
Havilah Fire,Bodfish,2016-08-28,2016-08-28,304
Gap Fire,Happy Camp,2016-08-27,2016-08-28,33867
Bird Fire,Tracy,2016-08-20,2016-08-20,147
Tully Fire,Westhaven-Moonstone,2016-08-22,2016-09-04,599
Willard Fire,Susanville,2016-09-11,2016-09-22,2575
Santos Fire,Forest Ranch,2016-08-26,2016-08-30,88
Willow Fire,San Andreas,2016-08-28,2016-08-31,450
Tule Fire,East Porterville,2016-08-22,2016-11-08,395
Grade Fire,Yreka,2016-08-24,2016-08-30,710
Howard Fire,Alturas,2016-09-11,2016-09-14,380
Range Fire,Bear Valley Springs,2016-08-26,2016-08-29,600
Mockingbird Fire,Upper Lake,2016-08-30,2016-08-31,20
Moffett Fire,Yreka,2016-09-12,2016-09-13,32
Old Fire,Forest Ranch,2016-09-16,2016-09-19,30
Hog Fire,Red Bluff,2016-09-13,2016-09-13,321
Old Fire,Midpines,2016-09-13,2016-09-17,150
Auburn Fire,Grass Valley,2016-09-17,2016-09-20,47
Owens River Fire,Mammoth Lakes,2016-09-17,2016-09-18,5443
Soup Complex,Alturas,2016-09-17,2016-10-13,2652
Canyon Fire,Lompoc,2016-09-17,2016-09-27,12518
Washington Fire,Vandenberg Space Force Base,2016-09-22,2016-09-27,215
Bangor Fire,Oroville East,2016-09-22,2016-09-23,130
Butte Fire,Sutter,2016-09-20,2016-09-20,300
Bell Fire,Sutter Creek,2016-09-23,2016-09-25,45
Marshes Fire,Jamestown,2016-09-26,2016-10-04,1080
Newmark Fire,Parlier,2016-09-23,2016-09-24,70
Cow Fire,Los Molinos,2016-09-25,2016-09-25,100
Sawmill Fire,Cobb,2016-09-25,2016-09-29,1547
Tobin Fire,Magalia,2016-09-26,2016-10-06,248
Loma Fire,Day Valley,2016-09-26,2017-09-19,4474
Sacata Fire,Squaw Valley,2016-10-11,2016-10-20,2100
Emerald Fire,South Lake Tahoe,2016-10-14,2016-10-17,176
Gopher Fire,Hidden Meadows,2016-11-13,2016-11-14,28
Marek Fire,Shadow Hills,2016-11-14,2016-11-14,4824
Jacobson Fire,Three Rivers,2016-10-20,2016-12-19,10
Meadow Fire,Alta Sierra,2016-10-29,2016-12-19,4347
Aqueduct Fire,Kettleman City,2018-04-12,2019-01-03,30
Grace Fire,Shingletown,2017-04-03,2018-01-09,45
West Fire,Alturas,2017-04-03,2018-01-09,380
66 Fire,Mecca,2017-04-13,2018-01-09,15
Jayne Fire,Coalinga,2017-04-20,2018-01-09,4532
Soledad Fire,Soledad,2017-04-24,2018-01-09,10
El Dorado Fire,San Joaquin,2017-04-28,2018-01-09,750
Tumey Fire,Mendota,2017-04-29,2018-01-09,126
Tower Fire,Oak Hills,2017-04-30,2018-01-09,150
Opera Fire,Highgrove,2017-04-30,2018-01-09,1350
Jameson Fire,El Cerrito Corona,2017-04-30,2018-01-09,12
Fay Fire,Weldon,2017-05-01,2018-01-09,19
Olive Fire,Shandon,2017-05-02,2018-01-09,130
Shandon Fire,Shandon,2017-05-07,2018-01-09,12
Sonoma Fire,San Joaquin,2017-05-10,2018-01-09,400
Hub Fire,Lake Isabella,2017-05-12,2018-01-09,31
Wright Fire,Los Banos,2017-05-12,2018-01-09,1733
Nacimiento Fire,Lake Nacimiento,2017-05-14,2018-01-09,20
Canyon Fire,Beaumont,2017-05-14,2018-01-09,17
Feed Fire,Arvin,2017-05-14,2018-01-09,41
Arrow Fire,Taft Heights,2017-05-15,2018-01-09,225
Bravo Fire,Lamont,2017-05-15,2018-01-09,288
Pine Fire,King City,2017-05-16,2018-01-09,18
Lonoak Fire,King City,2017-05-17,2018-01-09,17
41 Fire,Bonadelle Ranchos-Madera Ranchos,2017-05-17,2018-01-09,150
Camp Fire,Los Osos,2017-05-18,2018-01-09,225
Elm Fire,Coalinga,2017-05-18,2018-01-09,10000
City Fire,Kettleman City,2017-05-18,2018-01-09,20
Moraga Fire,Pedley,2017-05-18,2018-01-09,14
Manning Fire,Mendota,2017-05-19,2018-01-09,70
Deluz Fire,Fallbrook,2017-05-19,2018-01-09,486
Gate Fire,Jamul,2017-05-20,2018-01-09,2056
Rocky Fire,Shandon,2017-05-20,2018-01-09,17
Ming Fire,Oildale,2017-05-20,2018-01-09,506
Moreno Fire,Moreno Valley,2017-05-23,2018-01-09,10
Wasioja Fire,Taft Heights,2017-05-20,2018-01-09,190
Ribbonwood Fire,Campo,2017-05-24,2018-01-09,25
Bitterwater Fire,King City,2017-05-22,2018-01-09,21
Smiley Fire,Moreno Valley,2017-05-21,2018-01-09,35
Range Fire,Camp Pendleton North,2017-05-25,2018-01-09,1000
Lamb Fire,Beaumont,2017-05-25,2018-01-09,120
Champagne Fire,Rosamond,2017-05-28,2018-01-09,10
Rusty Fire,Auberry,2017-05-28,2018-01-09,16
Serenas Fire,Mecca,2017-05-28,2018-01-09,48
Lombardi Fire,Valley Springs,2017-05-28,2018-01-09,15
Panoche Fire,Firebaugh,2017-05-28,2018-01-09,18
Matz Fire,Morongo Valley,2017-05-29,2018-01-09,16
Fountain Fire ,Terra Bella,2017-05-31,2018-01-09,79
Twenty Fire,Loma Rica,2017-05-29,2018-01-09,10
Clay Fire,Clay,2017-06-01,2018-01-09,68
Fairview Fire,Desert Hot Springs,2017-06-01,2018-01-09,26
Elk Fire,Maricopa,2017-06-02,2018-01-09,16
Jones Fire,Alturas,2017-06-03,2018-01-09,42
Vernon Fire,San Jacinto,2017-06-03,2018-01-09,27
5 Fire,Shadow Hills,2017-06-03,2018-01-09,25
Creek Fire ,Lake Isabella,2017-06-04,2018-01-09,33
Spring Fire ,Cottonwood,2017-06-04,2018-01-09,78
Shirleon Fire ,Banning,2017-06-04,2018-01-09,10
Fish Fire,Orinda,2017-06-05,2018-01-09,20
Pine Fire,Oildale,2017-06-05,2018-01-09,10
Wilbur Fire,Thermalito,2017-06-06,2018-01-09,91
Whitepine Fire,Montague,2017-06-06,2018-01-09,46
Dinely Fire,Three Rivers,2017-06-07,2018-01-09,339
26 Fire,Madera Acres,2017-06-07,2018-01-09,157
Bodfish Fire,Bodfish,2017-06-10,2018-01-09,206
Breckenridge Fire,Lamont,2017-06-09,2018-01-09,35
Hog Fire,San Miguel,2017-06-09,2018-01-09,14
Oakwood Fire,Yosemite Lakes,2017-06-10,2018-01-09,1417
Wild Fire,Mendota,2017-06-11,2018-01-09,186
Refuge Fire,Angwin,2017-06-13,2018-01-09,22
Pleyto Fire,Lake Nacimiento,2017-06-11,2018-01-09,32
Monterey Fire,Mendota,2017-06-11,2018-01-09,450
Tivy Fire,Minkler,2017-06-11,2018-01-09,76
Red Fire,Jamestown,2017-06-11,2018-01-09,38
Valley Fire,East Hemet,2017-06-13,2018-01-09,33
Douglas Fire,Vista,2017-06-13,2018-01-09,50
King Fire,Alta Sierra,2017-06-13,2018-01-09,135
Reed Fire,Aguanga,2017-06-13,2018-01-09,20
