fire_name,city,start_date,end_date,acres_burned
Lucy Fire,Shandon,2017-06-14,2018-01-09,150
Westfall Fire,Mariposa,2017-06-15,2018-01-09,63
Canyon Fire,Banning,2017-06-15,2018-01-09,105
Nuevo Fire,Nuevo,2017-06-15,2018-01-09,28
Skyway Fire,Durham,2017-06-16,2018-01-09,134
Shore Fire,Lake Nacimiento,2017-06-16,2018-01-09,32
Lake Fire,Castaic,2017-06-17,2018-01-09,850
Bolla Fire,Lewiston,2017-06-18,2018-01-09,60
Lambs Fire,Beaumont,2017-06-18,2018-01-09,10
Smiley Fire,Moreno Valley,2017-06-18,2018-01-09,153
Road Fire,Bonadelle Ranchos-Madera Ranchos,2017-06-18,2018-01-09,25
Highway Fire,Bodfish,2017-06-18,2018-01-09,1522
Trellis Fire,Meadowbrook,2017-06-18,2018-01-09,26
Bogus Fire,Montague,2017-06-18,2018-01-09,56
Toll Fire,Crockett,2017-06-22,2018-01-09,39
Holcomb Fire,Big Bear City,2017-06-19,2018-01-09,1503
Orange Fire,East Oakdale,2017-06-21,2018-01-09,65
Quimby Fire,Alum Rock,2017-06-21,2018-01-09,54
Highway Fire,Loma Rica,2017-06-22,2018-01-09,21
Lone Fire,Palermo,2017-06-22,2018-01-09,111
Creek Fire,Coalinga,2017-06-23,2018-01-09,357
Paskenta Fire,Red Bluff,2017-06-24,2018-01-09,42
Placerita Fire,Santa Clarita,2017-06-25,2018-01-09,760
Black Fire,Ramona,2017-06-25,2018-01-09,36
Manzanita Fire,Anza,2017-06-26,2018-01-09,6309
King Fire,Lewiston,2017-06-26,2018-01-09,19
Hill Fire,Santa Margarita,2017-06-26,2018-01-09,1626
Latrobe Fire,Ione,2017-06-27,2018-01-09,35
Pine Fire,Woodacre,2017-06-27,2018-01-09,38
Sloane Fire,Crest,2017-06-27,2018-01-09,25
Mart Fire,Highland,2017-06-27,2018-01-09,670
Shore Fire,Fort Dick,2017-06-26,2018-01-09,28
Ranch Fire,East Foothills,2017-06-29,2018-01-09,85
Alvarado Fire,Lake Nacimiento,2017-06-28,2018-01-09,15
Ben Fire,Mariposa,2017-06-28,2018-01-09,558
Tarina Fire ,Lamont,2017-06-30,2018-01-09,1200
Lockwood Fire,King City,2017-06-29,2018-01-09,42
Topanga Fire,Las Flores,2017-06-29,2018-01-09,55
Stokes Fire,Agoura,2017-06-29,2018-01-09,41
Oak Fire,Bella Vista,2017-07-01,2018-01-09,128
Brewer Fire,Lake of the Pines,2017-07-02,2018-01-09,10
Lisa Fire,Lakeview,2017-07-02,2018-01-09,11
Desabla Fire,Forest Ranch,2017-07-02,2018-01-09,14
Spring Fire,Mariposa,2017-07-02,2018-01-09,225
Derrick Fire,Coalinga,2017-07-02,2018-01-09,1562
Timber Fire,Moreno Valley,2017-07-03,2018-01-09,30
Canyon Fire,Beaumont,2017-07-03,2018-01-09,10
Lago Fire,Lakeview,2017-07-03,2018-01-09,50
Valley Fire,Ridgemark,2017-07-04,2018-01-09,34
Silver Fire,Crestline,2017-07-04,2018-01-09,13
Freedom Fire,Minkler,2017-07-04,2018-01-09,57
Jurupa Fire,Glen Avon,2017-07-04,2018-01-09,35
Lakeland Fire,Oroville,2017-07-04,2018-01-09,18
Grade Fire,Casa Conejo,2017-07-04,2018-01-09,50
Eagle Fire,El Cerrito Corona,2017-07-04,2018-01-09,205
Globe Fire,East Porterville,2017-07-05,2018-01-09,21
Fay Fire,Yreka,2017-07-05,2018-01-09,496
Axel Fire,Cameron Park,2017-07-08,2018-01-09,74
Lake Fire,Waterford,2017-07-08,2018-01-09,62
Auberry Fire,Clovis,2017-07-05,2018-01-09,91
Gold Fire,San Andreas,2017-07-05,2018-01-09,22
Winters Fire,Winters,2017-07-06,2018-01-09,1700
Quail Fire,McFarland,2017-07-06,2018-01-09,1626
Alamo Fire,Santa Maria,2017-07-06,2018-01-09,28687
Hawk Fire,Richgrove,2017-07-07,2018-01-09,2940
Daulton Fire,Madera Acres,2017-07-07,2018-01-09,90
Christmas Fire,Meadowbrook,2017-07-07,2018-01-09,33
Wall Fire,Oroville East,2017-07-07,2018-01-09,6033
Bryant Fire,Yucaipa,2017-07-07,2018-01-09,74
Tower Fire,Santa Margarita,2017-07-07,2018-01-09,58
Banderilla Fire,Jamestown,2017-07-07,2018-01-09,36
Deer Complex,Brentwood,2017-07-08,2018-01-09,231
North Fire,Redding,2017-07-15,2018-01-09,10
Whittier Fire,Santa Ynez,2017-07-08,2018-01-09,18430
Orleans Complex,Happy Camp,2017-07-26,2018-01-09,27276
Stone Fire,Santa Margarita,2017-07-09,2018-01-09,340
Willow Fire,Rodeo,2017-07-08,2018-01-09,370
West Fire,Beale Air Force Base,2017-07-08,2018-01-09,50
Rosado Fire,El Dorado Hills,2017-07-12,2018-01-09,13
Parkfield Fire,San Miguel,2017-07-08,2018-01-09,1816
Benson Fire,Cottonwood,2017-07-08,2018-01-09,29
Garza Fire,Avenal,2017-07-09,2018-01-09,48660
Honcut Fire,Palermo,2017-07-10,2018-01-09,166
Felipe Fire,Morgan Hill,2017-07-10,2018-01-09,70
Rebie Fire,Challenge-Brownsville,2017-07-12,2018-01-09,10
Mesa Fire,Los Olivos,2017-07-17,2018-01-09,50
Bridge Fire,Mentone,2017-07-14,2018-04-12,460
Jennings Fire,Harbison Canyon,2017-07-11,2018-01-09,400
Long Valley Fire,Portola,2017-07-11,2018-01-09,83733
Lariat Fire,East Foothills,2017-07-11,2018-01-09,101
Quail Fire,Valley Springs,2017-07-12,2018-01-09,59
Washington Fire,Winchester,2017-07-13,2018-01-09,32
Hidden Fire,Highland,2017-07-12,2018-01-09,46
Spaletta Fire,Inverness,2017-07-12,2018-01-09,35
Navajo Fire,Perris,2017-07-13,2018-01-09,10
Reservation Fire,Marina,2017-07-16,2018-01-09,40
Grade Fire,Redwood Valley,2017-07-16,2018-01-09,900
Detwiler Fire,Mariposa,2017-07-16,2018-01-09,81826
Range Fire,Talmage,2017-07-17,2018-01-09,20
Park Fire,San Miguel,2017-07-17,2018-01-09,1649
Sand Fire,Arbuckle,2017-07-17,2018-01-09,70
Maria Fire,Mountain Ranch,2017-07-17,2018-01-09,117
Centerville Fire,Alturas,2017-07-17,2018-01-09,15
Murphy Fire,Lower Lake,2017-07-17,2018-01-09,40
Fox Fire,East Porterville,2017-07-17,2018-01-09,59
I-5 Fire,Avenal,2017-08-24,2018-01-09,2312
Sway Fire,Redway,2017-08-01,2018-01-09,19
Hudson Fire,Maricopa,2017-07-18,2018-01-09,1083
Laverne Fire,Redding,2017-07-18,2018-01-09,180
Ellis Fire,Good Hope,2017-07-18,2018-01-09,72
Hogback Fire,Three Rivers,2017-07-18,2018-01-09,58
Roadrunner Fire,East Porterville,2017-07-30,2018-01-09,2289
Twist Fire,East Sonora,2017-07-30,2018-01-09,124
Gorman Fire,Lebec,2017-07-28,2018-01-09,135
Placentia Fire,Nuevo,2017-07-28,2018-01-09,63
Willms Fire,East Oakdale,2017-07-18,2018-01-09,19
Humboldt Fire,Chico,2017-07-19,2018-04-12,103
Minerva Fire,Quincy,2017-07-29,2018-01-09,4310
Jacksonville Fire,Jamestown,2017-07-29,2018-01-09,675
Zenon Fire,Callender,2017-07-20,2018-01-09,47
Grizzly Fire,Nevada City,2017-07-21,2018-01-09,10
Ranch Fire,Somerset,2017-07-26,2018-01-09,140
Elephant Fire,Lindsay,2017-07-20,2018-01-09,416
Latrobe Fire,Rancho Murieta,2017-07-26,2018-01-09,1268
Weller Fire,Milpitas,2017-07-26,2018-01-09,51
Marble Fire,Happy Camp,2017-07-19,2018-01-09,319
Dollar Fire,Running Springs,2017-07-22,2018-01-09,85
Lost Fire,Anza,2017-07-22,2018-04-12,255
Seine Fire,Highland,2017-07-22,2018-01-09,20
Woodland Fire,Placerville,2017-07-25,2018-01-09,13
Olive Fire,Shandon,2017-07-24,2018-01-09,150
Spenceville Fire,Beale Air Force Base,2017-07-24,2018-01-09,39
Castro Fire,Gilroy,2017-07-23,2018-01-09,78
High Fire,Lucerne Valley,2017-07-23,2018-01-09,170
Live Fire,Red Bluff,2017-07-28,2018-01-09,57
Greenhorn Fire,Colfax,2017-07-27,2018-01-09,15
Falls Fire,Tuolumne City,2017-08-01,2018-01-09,20
Sky Fire,Bella Vista,2017-07-29,2018-01-09,17
Largo Fire,Rancho Murieta,2017-07-30,2018-01-09,236
Garden Fire,Bodfish,2017-07-30,2018-01-09,1350
Independence Fire,Healdsburg,2017-07-31,2018-01-09,11
Mile Fire,Crestline,2017-07-31,2018-01-09,100
Rose Fire,Lake Elsinore,2017-07-31,2018-01-09,200
Sandy Fire,Willow Creek,2017-08-02,2018-01-09,32
Camatta Fire,Shandon,2017-08-02,2018-01-09,70
Red Fire,Shandon,2017-08-02,2018-01-09,460
Saw Fire,Redway,2017-08-03,2018-01-09,85
Bryant Fire,Yucaipa,2017-08-03,2018-01-09,325
Rincon Fire,Glendora,2017-08-03,2018-01-09,10
Blocksburg Fire,Redway,2017-08-03,2018-01-09,30
Bottle Fire,Kelseyville,2017-08-08,2018-01-09,62
Stewart Fire,Loma Linda,2017-08-04,2018-01-09,122
Calgary Fire,Wofford Heights,2017-08-05,2018-01-09,50
W-2 Fire,Alturas,2017-08-06,2018-01-09,530
Reed Fire,Aguanga,2017-08-07,2018-01-09,92
Country Fire,San Miguel,2017-08-07,2018-01-09,82
Ruth Complex,Covelo,2017-08-07,2018-01-09,4736
Rose Fire,Lebec,2017-08-10,2018-01-09,338
Tilton Fire,Morgan Hill,2017-08-11,2018-01-09,100
Paskenta Fire ,Rancho Tehama Reserve,2017-08-10,2018-01-09,15
Canyon Fire,Yountville,2017-08-11,2018-01-09,114
Nuevo Fire,Nuevo,2017-08-13,2018-01-09,19
Yankee Fire,San Miguel,2017-08-11,2018-01-09,775
Blaine Fire,Highgrove,2017-08-13,2018-01-09,1500
Coronado Fire,Planada,2017-08-13,2018-01-09,125
Empire Fire,Yosemite Valley,2017-08-01,2018-01-09,8094
South Fork Fire,Yosemite Valley,2017-08-14,2018-01-09,7000
Mias Fire,Banning,2017-08-14,2018-01-09,600
Corner Fire,Burney,2017-08-17,2018-01-09,17
Hills Fire,Beaumont,2017-08-19,2018-01-09,168
Beale Fire,Beale Air Force Base,2017-08-20,2018-01-09,867
Toll Fire,East Quincy,2017-08-20,2018-01-09,186
Eclipse Complex,Happy Camp,2017-08-15,2018-01-09,78698
Indian Fire,Lone Pine,2017-08-02,2018-01-09,2295
Eclipse Fire,Campo,2017-08-21,2018-01-09,200
Young Fire,Happy Camp,2017-08-07,2018-01-09,3142
Parker 2 Fire,Alturas,2017-08-03,2018-01-09,7697
Range Fire,Dublin,2017-08-22,2018-01-09,200
Juniper Fire,Coalinga,2017-08-23,2018-01-09,31
Montezuma Fire,Borrego Springs,2017-08-26,2018-01-09,62
Peg Fire,Susanville,2017-08-26,2018-01-09,157
Vestal Fire,Shasta,2017-08-26,2018-01-09,40
Flat Fire,Auberry,2017-08-26,2018-01-09,111
Mines Fire,Mountain House,2017-08-27,2018-01-09,44
Bodega Fire,Penngrove,2017-08-27,2018-01-09,18
Canyon Fire,Lakeland Village,2017-08-27,2018-01-09,46
Hill Fire,Squaw Valley,2017-08-27,2018-01-09,69
Translator Fire,Willow Creek,2017-08-28,2018-01-09,40
Sandra Fire,Jackson,2017-08-28,2018-01-09,10
Pier Fire,East Porterville,2017-08-29,2018-01-09,36556
Bradley Fire,Dunsmuir,2017-08-28,2018-01-09,54
Ponderosa Fire,Challenge-Brownsville,2017-08-29,2018-08-30,4016
Railroad Fire,Ahwahnee,2017-08-29,2018-01-09,12407
Mud Fire,Janesville,2017-08-29,2018-01-09,6042
4-4 Fire,Alturas,2017-08-30,2018-01-09,28
Pleasant Fire,Nevada City,2017-08-30,2018-01-09,392
4-10 Fire,Alturas,2017-08-30,2018-01-09,27
Coalinga Fire,Coalinga,2017-08-30,2018-01-09,102
Miller Fire,Redway,2017-08-31,2018-01-09,34
Helena - Fork Fire,Weaverville,2017-08-30,2018-01-09,21846
Castaic Fire,Castaic,2017-08-31,2018-03-22,30
Ellie Fire,Meadowbrook,2017-09-10,2018-01-09,34
Creek Fire,Twain Harte,2017-09-03,2018-01-09,1749
Hopper Fire,Bella Vista,2017-09-01,2018-01-09,25
Caldwell Fire,Kernville,2017-09-01,2018-01-09,1319
La Tuna Fire ,Tujunga,2017-09-01,2018-01-09,7194
Mission Fire,Auberry,2017-09-03,2018-01-09,1037
Parkfield Fire,Coalinga,2017-09-03,2018-01-09,100
Palmer Fire,Calimesa,2017-09-02,2018-01-09,3800
Margarita Fire,Santa Margarita,2017-09-03,2018-01-09,120
Mule Fire,Clearlake,2017-09-05,2018-01-09,21
Mills File,Greenville,2017-09-03,2018-01-09,79
Bally Fire,Gilroy,2017-09-03,2018-01-09,100
Peak Fire,Ahwahnee,2017-09-03,2018-01-09,680
R-4 Fire,Janesville,2017-08-30,2018-01-09,18618
Cove Fire,Lake Nacimiento,2017-09-23,2018-01-09,25
Bradley Fire,Dunsmuir,2017-08-28,2018-01-09,54
Sandy Fire,Willow Creek,2017-08-02,2018-01-09,32
Table Fire,Jamestown,2017-09-19,2018-03-26,39
Linne Fire,Paso Robles,2017-09-26,2018-01-09,74
Pine Fire,King City,2017-09-11,2018-01-09,43
Eureka Fire,Downieville,2017-09-05,2018-01-09,2575
Shaver Fire,Auberry,2017-09-11,2018-01-09,10
Skeleton Fire,Upper Lake,2017-09-12,2018-01-09,200
Soda Fire,Forest Ranch,2017-09-28,2018-01-09,143
Skeggs Fire,Woodside,2017-09-11,2018-01-09,50
Berry Fire,Burney,2017-09-11,2018-01-09,900
Hole Fire,Fort Dick,2017-09-12,2018-01-09,40
Pacific Fire,Palermo,2017-09-12,2018-01-09,12
Slides Fire,Redwood Valley,2017-09-12,2018-01-09,58
Buck Fire,Hayfork,2017-09-12,2018-01-09,13417
French Fire,Shingle Springs,2017-09-17,2018-01-09,136
Eastman Fire,Madera Acres,2017-09-18,2018-01-09,483
Grape Fire,Talmage,2017-09-19,2018-01-09,146
Corral Fire,Tracy,2017-09-19,2018-04-05,155
Murphy Fire,Coalinga,2017-09-19,2018-01-09,237
Power Fire,Los Banos,2017-09-20,2018-01-09,48
Huasna Fire,Nipomo,2017-09-20,2018-01-09,245
Dexter Fire,Tuolumne City,2017-09-20,2018-01-09,10
32 Fire,Forest Ranch,2017-09-25,2018-01-09,28
Estate Fire,Allendale,2017-09-23,2018-01-09,55
Jasper Fire,Wheatland,2017-09-26,2018-01-09,26
Edwards Fire,San Leandro,2017-09-26,2018-01-09,22
Poly Fire,San Luis Obispo,2017-09-26,2018-01-09,105
Canyon Fire,Los Serranos,2017-09-25,2018-03-28,2662
Lion Fire,Three Rivers,2017-09-27,2018-01-09,18900
Rucker Fire,Mission Hills,2017-09-29,2018-01-09,444
Lakewood Fire,Bodfish,2017-09-29,2018-01-09,40
Melba Fire,Homeland,2017-09-29,2018-01-09,35
Timm Fire,Allendale,2017-10-02,2018-01-09,100
Ramblin Fire,Mariposa,2017-10-03,2018-01-09,17
36 Fire,Red Bluff,2017-10-03,2018-01-09,20
Ridge Fire,Clearlake Oaks,2017-10-06,2018-01-09,87
Jones Fire,Bella Vista,2017-10-08,2018-01-09,40
Fort Fire,Monte Rio,2017-10-07,2018-01-09,20
Freeway Fire,Red Bluff,2017-10-08,2018-01-09,10
Blue Fire,Blue Lake,2017-10-08,2018-01-09,20
Cherokee Fire,Oroville,2017-10-08,2018-02-09,8500
Atlas Fire (Southern LNU Complex),Napa,2017-10-09,2018-02-09,51624
Tubbs Fire (Central LNU Complex),Calistoga,2017-10-08,2018-02-09,36807
Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),Kenwood,2017-10-09,2018-02-09,44573
Partrick Fire (Central LNU Complex),Sonoma,2017-10-08,2018-01-09,8283
LaPorte Fire (Wind Complex),Loma Rica,2017-10-09,2018-02-09,6151
Cascade Fire (Wind Complex),Loma Rica,2017-10-08,2018-02-09,9989
McCourtney Fire (Wind Complex),Grass Valley,2017-10-09,2018-02-09,76
Redwood Valley Fire (Mendocino Lake Complex),Redwood Valley,2017-10-08,2018-02-09,36523
Point Fire,Buckhorn,2017-10-09,2018-01-09,130
37 Fire,Black Point-Green Point,2017-10-09,2018-01-09,1660
Pozo Fire,Santa Margarita,2017-10-09,2018-01-09,45
Tank Fire,Bear Valley Springs,2017-10-26,2018-01-09,50
Sulphur Fire (Mendocino Lake Complex),Clearlake Oaks,2017-10-09,2018-02-09,2207
Lobo Fire (Wind Complex),Grass Valley,2017-10-08,2018-02-09,821
Honey Fire,Paradise,2017-10-09,2018-01-09,150
Canyon 2 Fire,Los Serranos,2017-10-09,2018-04-05,9217
Wildomar Fire,Lakeland Village,2017-10-26,2018-01-09,866
Tehama Fire,Los Molinos,2017-10-26,2018-01-09,194
Silver Fire,Squaw Valley,2017-10-11,2018-01-09,58
Pocket Fire (Central LNU Complex),Cloverdale,2017-10-09,2018-02-09,17357
Bear Fire,Boulder Creek,2017-10-16,2018-01-09,391
Wilson Fire,Sierra Madre,2017-10-17,2018-01-09,50
River Fire,Hayfork,2017-10-14,2018-01-09,148
Quarry Fire,Arvin,2017-10-12,2018-01-09,183
Wilson Fire,Julian,2017-10-15,2018-01-09,25
Garden Fire,Lake of the Pines,2017-10-10,2018-01-09,19
Ice Fire,Pollock Pines,2017-10-10,2018-01-09,29
Portola Fire,Temecula,2017-10-10,2018-01-09,23
Meyers Fire,Muscoy,2017-12-05,2018-01-09,34
Little Mountain Fire,Muscoy,2017-12-05,2018-01-09,260
Extension Fire,Beaumont,2017-10-23,2018-01-09,50
Freeway Fire,Fontana,2017-10-24,2018-01-09,40
Rolling Fire,Arvin,2017-10-15,2018-04-03,184
Lynch Fire,Lake Nacimiento,2017-10-13,2018-01-09,73
Table Fire,Tahoma,2017-10-13,2018-01-09,426
Long Fire,Clearlake,2017-10-14,2018-01-09,100
Oakmont Fire (Central LNU Complex),Kenwood,2017-10-14,2018-04-05,100
York Fire,Del Rey Oaks,2017-10-15,2018-01-09,31
Fallon Fire,Pleasanton,2017-10-17,2018-01-09,116
Buffalo Fire,Camp Pendleton North,2017-10-17,2018-01-09,1088
Milton Fire,East Oakdale,2017-10-18,2018-01-09,13
Rye Fire,Valencia,2017-12-05,2018-01-18,6049
Creek Fire,Shadow Hills,2017-12-05,2018-08-06,15619
Thomas Fire,Santa Paula,2017-12-04,2018-01-12,281893
Riverdale Fire,Pedley,2017-12-04,2018-01-09,40
Roser Fire,Orland,2017-11-02,2018-01-09,43
Loma Fire,San Clemente,2017-10-13,2018-01-09,81
Palm Fire,Garnet,2017-11-14,2018-01-09,40
Vista Fire,Oak View,2017-10-24,2018-01-09,86
Soda Fire,Lost Hills,2017-10-20,2018-01-09,21
Bitterwater Fire,King City,2017-11-25,2018-01-09,47
Church Fire,Campo,2017-10-21,2018-01-09,100
Oak Fire,Cherry Valley,2017-11-29,2018-01-09,99
Lilac Fire,Bonsall,2017-12-07,2018-01-09,4088
Liberty Fire,Murrieta Hot Springs,2017-12-07,2018-01-09,300
Longhorn Fire,Banning,2017-12-13,2018-01-09,19
Skirball Fire,Westwood,2017-12-06,2018-01-23,422
Drum Fire,Los Alamos,2017-12-16,2018-01-09,14
Coast Fire,Lompoc,2017-12-14,2018-01-09,14
Riverbottom Fire,Rubidoux,2017-12-21,2018-01-09,45
Haycamp Fire,King City,2018-02-07,2019-01-03,50
Pleasant Fire,West Bishop,2018-02-18,2019-01-03,2070
Grant Fire,Mountain House,2018-05-14,2019-01-04,12
Patterson Fire,Winchester,2018-05-17,2019-01-04,1261
Tyler Fire,Coachella,2018-04-15,2019-01-03,15
Santa Cruz Fire,Isla Vista,2018-03-27,2019-01-03,258
Rock Fire,Shingletown,2018-03-27,2019-01-03,11
Meadow Fire,Home Gardens,2018-04-09,2019-01-03,21
Volcan Fire,Julian,2018-05-10,2019-01-04,12
Shastina Fire,Montague,2018-05-09,2019-01-04,127
Lago Fire,Lakeview,2018-04-22,2019-01-03,18
French Fire,Portola,2018-04-26,2019-01-04,20
Happy Fire,Los Alamos,2018-05-17,2019-01-04,60
Jacques Fire,Fallbrook,2018-05-09,2019-01-04,18
Alpha Fire,San Clemente,2018-05-04,2019-01-04,300
Nees Fire,South Dos Palos,2018-05-02,2019-01-04,1756
Tornado Fire,Temecula,2018-05-04,2019-01-04,70
Woodchuck Fire,Aguanga,2018-05-04,2019-01-04,15
Moffat Fire,Lone Pine,2018-04-19,2019-01-03,1065
Main Fire,Lake Elsinore,2018-04-28,2019-01-04,73
White Fire,Richgrove,2018-05-18,2019-01-04,26
Jelly Fire,Cottonwood,2018-05-18,2019-01-04,103
Ager Fire,Montague,2018-05-19,2019-01-04,27
Plaza Fire,Los Banos,2018-05-20,2019-01-04,88
Bellagio Fire,American Canyon,2018-05-21,2019-01-04,12
Agua Fire,Rainbow,2018-05-22,2019-01-04,59
Experimental Fire,Yosemite Lakes,2018-05-23,2019-01-04,56
Water Fire,Shandon,2018-05-24,2019-01-04,100
Cobble Fire,Minkler,2018-05-26,2019-01-04,108
Keeler Fire,Seven Trees,2018-05-27,2019-01-04,16
70th Fire,Mecca,2018-05-28,2019-01-04,10
Chrome Fire,Orland,2018-05-28,2019-01-04,75
Stuhr Fire,Newman,2018-05-29,2019-01-04,63
Vineyard Fire,San Miguel,2018-05-29,2019-01-04,25
Grant Fire,Mountain House,2018-05-30,2019-01-04,484
Madison FIre,Esparto,2018-06-01,2019-01-04,14
Open Fire,Nice,2018-06-01,2019-01-04,127
Plymire Fire,Red Bluff,2018-06-01,2019-01-04,23
Glen Fire,Pittsburg,2018-06-02,2019-01-04,23
Aliso Fire,Aliso Viejo,2018-06-02,2019-01-04,175
Jardin Fire,Fallbrook,2018-06-02,2019-01-04,10
Coldwell Fire,Coalinga,2018-06-02,2019-01-04,13
Black Fire,Orland,2018-06-03,2019-01-04,10
Grande Fire,Fallbrook,2018-06-03,2019-01-04,11
Ethanac Fire,Meadowbrook,2018-06-03,2019-01-04,17
Fairview Fire,Ridgemark,2018-06-03,2019-01-04,35
Resort Fire,Lake Nacimiento,2018-06-03,2019-01-04,12
Martin Fire,Weed,2018-06-03,2019-01-04,37
Adobe Fire,La Mesa,2018-06-03,2019-01-04,38
Green Fire,Rancho San Diego,2018-06-03,2019-01-04,10
Stone Fire,Agua Dulce,2018-06-04,2019-01-04,1352
Meamber Fire,Yreka,2018-06-04,2019-01-04,12
Airline Fire,King City,2018-06-04,2019-01-04,1314
Eastern Fire,King City,2018-06-04,2019-01-04,513
ONeals Fire,Auberry,2018-06-04,2019-01-04,300
Panoche Fire,Soledad,2018-06-04,2019-01-04,64
Pallet Fire,Sonoma,2018-06-05,2019-01-04,10
Vista Fire,Fallbrook,2018-06-05,2019-01-04,12
Recycle Fire,Campo,2018-06-06,2019-01-04,265
Liberty Fire,Dogtown,2018-06-11,2019-01-04,62
Bear Fire,Planada,2018-06-07,2019-01-04,200
Apple Fire,Rancho Tehama Reserve,2018-06-09,2019-01-04,2956
Chrome Fire,Orland,2018-06-09,2019-01-04,2290
Mission Fire,San Rafael,2018-06-09,2019-01-04,12
South Fire,San Rafael,2018-06-09,2019-01-04,175
Sam Fire,King City,2018-06-09,2019-01-04,96
Beaver Fire,King City,2018-06-12,2019-01-04,215
Vista Fire,Paso Robles,2018-06-13,2019-01-04,60
Santiago Fire,North Tustin,2018-06-11,2019-01-04,155
