fire_name,city,start_date,end_date,acres_burned
111 Fire,Desert Shores,2022-04-30,2022-05-01,15
Pyrite Fire ,Glen Avon,2022-05-06,2022-05-07,60
Coastal Fire,Laguna Niguel,2022-05-11,2022-05-17,200
Coyote Fire,Banning,2022-05-15,2022-05-16,46
Poplar Fire,East Porterville,2022-05-16,2022-05-16,25
Owens Fire,Sea Ranch,2022-05-20,2022-05-22,36
River Fire ,Colusa,2022-05-24,2022-05-28,595
Bull Fire ,Santa Maria,2022-05-24,2022-05-24,48
Elk Trail Fire,Yucca Valley,2022-05-26,2022-05-30,431
Lost Lake Fire ,Big River,2022-05-26,2023-06-04,5856
Old Fire,Napa,2022-05-31,2022-06-05,570
62 Fire,Vista Santa Rosa,2022-06-04,2022-06-08,60
Eagle Fire,San Miguel,2022-06-06,2022-06-07,36
Hesperia Fire,Oak Hills,2022-06-06,2022-06-10,95
Park Fire,Loma Rica,2022-06-09,2022-06-11,54
Graham Fire,Forest Ranch,2022-06-10,2022-06-16,100
Plant Fire,Lebec,2022-06-11,2022-06-14,517
Sheep Fire,Wrightwood,2022-06-12,2023-06-22,865
Barrett Fire,Descanso,2022-06-12,2022-06-15,65
Rancho Fire,Rancho Tehama Reserve,2022-06-13,2022-06-18,593
Edgewood,Emerald Lake Hills,2022-06-21,2022-06-26,20
Thunder Fire ,Lebec,2022-06-22,2022-06-27,2500
99 Fire,Gridley,2022-06-22,2022-06-22,66
Tesla Fire,Morgan Hill,2022-06-23,2023-06-23,552
Romero Fire,Hartley,2022-06-23,2022-06-24,349
Kirker Fire ,Clayton,2022-06-24,2022-06-24,90
Union Fire,Pedley,2022-06-25,2022-06-29,110
Roblar Fire ,Sebastopol,2022-06-27,2022-06-27,63
Rices Fire,Lake Wildwood,2022-06-28,2022-07-05,904
Table Fire,Auberry,2022-07-01,2022-07-03,52
Garrison Fire,Lake Nacimiento,2022-07-04,2022-07-05,138
Nome Fire,Covelo,2022-07-05,2022-07-06,20
Bay Fire,Loma Rica,2022-07-08,2022-07-10,30
Washburn Fire,Ahwahnee,2022-07-07,2023-08-03,4886
Harbison,Crest,2022-07-12,2022-07-13,37
Peter Fire ,Anderson,2022-07-14,2022-07-19,304
Rainbow Fire,Rancho Tehama Reserve,2022-07-16,2022-07-19,60
Riosa Fire,Sheridan,2022-07-17,2022-07-18,38
Bell Fire,Laytonville,2022-07-17,2022-07-20,43
Winding Fire,Lake Wildwood,2022-07-18,2022-07-26,82
Meadow Fire ,Boonville,2022-07-19,2022-07-22,17
Flynn Fire ,Livermore,2022-07-19,2022-07-20,121
Slate Fire ,Jamestown,2022-07-21,2022-07-22,64
Anzar Fire,Aromas,2022-07-21,2022-07-27,104
Cable Fire ,Camino,2022-07-26,2022-07-28,20
Apple Fire,Loma Rica,2022-07-27,2022-08-02,39
Highway Fire,Oak Hills,2022-07-29,2022-07-31,28
Shackleford Fire,Yreka,2022-07-30,2022-08-05,31
Kelsey Fire,Happy Camp,2022-07-30,2022-08-07,85
Meamber Fire,Yreka,2022-07-31,2022-08-06,63
Marmot Fire,Three Rivers,2022-08-02,2022-08-06,127
Springs Fire,Jamestown,2022-08-03,2022-08-04,51
3-8 Fire ,Burney,2022-08-08,2022-08-15,14
Rail Fire,Bear Valley Springs,2022-08-14,2022-08-17,250
Oak Fire,Colfax,2022-08-15,2022-08-31,19244
Wishon Fire,East Porterville,2022-08-15,2022-08-28,325
Eden Fire,Dublin,2022-08-15,2022-08-15,58
Quail Fire,Castaic,2022-08-17,2022-08-18,53
Pleasant Fire,Lake Wildwood,2022-08-20,2022-08-29,48
Still Fire,Lake of the Pines,2022-08-27,2022-08-29,44
McCovey Fire,Bertsch-Oceanview,2022-08-29,2022-08-30,25
Ranch Fire,Bertsch-Oceanview,2022-08-29,2022-09-01,26
Gulch Fire,Glendora,2022-08-29,2022-09-07,113
Route Fire,Castaic,2022-08-31,2022-09-06,5208
Mill Fire,Weed,2022-09-02,2022-09-14,3939
Sandia Fire,Fallbrook,2022-09-04,2022-09-05,30
Hill Fire,Foresthill,2022-09-06,2022-09-15,11
Radford Fire,Big Bear Lake,2022-09-05,2022-09-30,1079
Rosa Fire,Cambria,2022-09-06,2022-09-06,16
Mosquito Fire,Foresthill,2022-09-06,2022-10-22,76788
Fork Fire ,Auberry,2022-09-07,2022-09-14,819
Forward Fire,Shingletown,2022-09-09,2022-09-17,160
Pleasant Fire ,West Bishop,2022-10-23,2022-10-25,50
66 Fire,Mecca,2023-05-15,2023-05-18,127
Ramona Fire,San Jacinto,2023-05-22,2023-05-25,338
Pistol Fire,Clovis,2023-05-30,2023-05-30,123
Orange Fire,Orange Cove,2023-06-01,2023-06-02,108
Panoche Fire,Los Banos,2023-06-03,2023-06-04,65
Valley Fire,East Porterville,2023-06-03,2023-06-04,135
Range Fire,Soledad,2023-06-04,2023-06-05,72
Geology Fire,Twentynine Palms,2023-06-10,2023-06-16,1088
Henderson Fire,Clearlake Oaks,2023-06-14,2023-06-16,21
Frank Fire,Shasta,2023-06-15,2023-06-16,32
Snell Fire,Angwin,2023-06-16,2023-06-19,103
Slough Fire,San Joaquin,2023-06-18,2023-06-18,640
Harney Fire,Jamestown,2023-06-21,2023-06-23,37
Peoria Fire,Loma Rica,2023-06-23,2023-06-25,59
Balfour Fire,Brentwood,2023-06-25,2023-06-25,74
Crane Fire,Squaw Valley,2023-06-27,2023-06-28,24
Juniper Fire,Mead Valley,2023-06-27,2023-06-29,68
Nice Fire,Mentone,2023-06-27,2023-07-01,90
Champagne Fire ,Tehachapi,2023-06-30,2023-06-30,25
Gann Fire,Rancho Calaveras,2023-07-02,2023-07-03,105
Peter Fire,Acton,2023-07-03,2023-07-03,14
Roundup Fire,Apple Valley,2023-07-04,2023-07-05,34
Bernasconi Fire,Lakeview,2023-07-04,2023-07-04,18
Lincoln Fire,Mecca,2023-07-05,2023-07-06,39
Day Fire,Mead Valley,2023-07-05,2023-07-06,56
Frog Fire,Temecula,2023-07-06,2023-07-07,33
District Fire,Lebec,2023-07-07,2023-07-11,1044
Vineyard Fire,Lake Nacimiento,2023-07-09,2023-07-10,391
Rider Fire,Mead Valley,2023-07-11,2023-07-11,12
Snake Fire,Meadowbrook,2023-07-11,2023-07-13,30
Spring Fire,Calimesa,2023-07-11,2023-07-12,35
Avocado Fire,Wildomar,2023-07-12,2023-07-13,10
Pulsar Fire,Lakeview,2023-07-13,2023-07-14,12
Highland Fire,Beaumont,2023-07-14,2023-07-17,105
Rabbit Fire,Lakeview,2023-07-14,2023-07-22,8355
Gavilan Fire,Mead Valley,2023-07-15,2023-07-21,336
Lodoga Fire,Maxwell,2023-07-16,2023-07-19,22
Stony Fire,Orland,2023-07-18,2023-07-20,89
Juniper Fire,Coalinga,2023-07-18,2023-07-19,15
Reche Fire,Moreno Valley,2023-07-14,2023-07-21,436
Idria Fire,King City,2023-07-19,2023-07-22,296
Oak Fire,Sunnyslope,2023-07-19,2023-07-20,137
Victor Fire,Santa Clarita,2023-07-25,2023-07-27,70
Agua Fire,Agua Dulce,2023-07-25,2023-08-07,421
Turkey Fire,Oroville East,2023-07-26,2023-08-03,65
Bonny Fire,Anza,2023-07-27,2023-08-07,2323
Sunset Fire,Banning,2023-07-27,2023-07-28,103
Flynn Fire,Mountain House,2023-07-29,2023-07-30,80
Shell Fire,Shandon,2023-07-30,2023-08-02,100
Haberkern Fire,Biola,2023-08-01,2023-08-02,35
East Fire ,Oildale,2023-08-01,2023-08-02,1291
Almond Fire,Cabazon,2023-08-02,2023-08-02,95
Ridge Fire,Lewiston,2023-08-04,2023-08-06,28
Boulevard Fire,Mojave,2023-08-04,2023-08-06,88
No Name Fire,Inyokern,2023-08-05,2023-08-19,1120
Almond Fire,Lost Hills,2023-08-06,2023-08-07,5228
Bunnie Fire,Ramona,2023-08-09,2023-08-11,184
Rock Fire,Lakeview,2023-08-09,2023-08-10,531
Cemetery Fire,Gridley,2023-08-09,2023-08-09,68
Dry Creek Complex,Three Rivers,2023-08-10,2023-08-10,301
Hernandez Fire,King City,2023-08-10,2023-08-11,75
Trotter,Bear Valley Springs,2023-08-14,2023-08-16,52
Bitter Fire,Shandon,2023-08-15,2023-08-16,695
SKU August Lightning Complex,Burney,2023-08-15,2023-08-31,838
Deep Fire,Weaverville,2023-08-16,2023-10-02,4198
Slide 1 Fire,Rancho Tehama Reserve,2023-08-16,2023-08-22,473
Smith River Complex,Fort Dick,2023-08-15,2023-11-17,95107
Cochrane Fire,Morgan Hill,2023-08-16,2023-08-23,72
Thirty Five Fire,Willows,2023-08-17,2023-08-17,109
Happy Camp Complex,Happy Camp,2023-08-16,2023-10-31,21725
South Fork Complex,Willow Creek,2023-08-15,2023-11-01,3929
Plant Fire,Taft Heights,2023-08-19,2023-08-30,5464
SRF Lightning Complex,Willow Creek,2023-08-20,2023-10-29,50198
Creek Fire,Lower Lake,2023-09-06,2023-09-11,28
Knoll Fire,Valley Springs,2023-09-10,2023-09-12,32
Alta Fire,Green Valley,2023-09-12,2023-09-13,14
Caliente Fire,Bear Valley Springs,2023-09-16,2023-09-17,55
Green Fire,Cambria,2023-10-06,2023-10-09,243
Wiley Fire,Fairfield,2023-10-07,2023-10-10,36
Border 34 Fire,Bonita,2023-10-29,2023-10-30,24
Highland Fire,Aguanga,2023-10-30,2023-11-07,2487
Lizzie Fire,San Luis Obispo,2023-10-30,2023-11-01,124
Sun Fire,Buellton,2023-11-09,2023-11-13,211
Manzanita Fire,San Jacinto,2023-11-14,2023-11-14,15
Sage Fire,Jamul,2023-11-23,2023-11-28,39
Elm Fire,Cabazon,2023-12-09,2023-12-11,65
South Fire,Santa Paula,2023-12-09,2023-12-12,2715
Pine Fire,Oildale,2023-12-15,2023-12-15,181
Palmas Fire,Desert Shores,2024-02-20,2024-02-26,239
 Bryson Fire,Lake Nacimiento,2024-02-27,2024-02-27,11
School Fire,Maricopa,2024-05-02,2024-05-03,1479
Magnolia Fire,Cabazon,2024-05-07,2024-05-08,37
Janell Fire,Aguanga,2024-05-14,2024-05-15,14
Mission Fire,Morongo Valley,2024-05-18,2024-05-18,27
Wind Fire,Frazier Park,2024-05-20,2024-05-20,121
Knolls Fire,Fairbanks Ranch,2024-05-22,2024-05-22,17
Seven Fire,Durham,2024-05-23,2024-05-24,11
Panoche Fire,King City,2024-05-25,2024-05-28,191
Hill Fire,Maricopa,2024-05-28,2024-06-01,1383
Dillon Fire,Desert Hot Springs,2024-05-28,2024-05-28,34
Mocal Fire,Taft Heights,2024-05-28,2024-05-29,116
Shirleon Fire,Banning,2024-05-28,2024-06-29,15
Devil Fire,Kettleman City,2024-05-29,2024-05-29,188
Howard Fire,Anza,2024-05-30,2024-05-31,32
Limonite Fire,Jurupa Valley,2024-05-31,2024-06-01,18
Field Fire,Taft Heights,2024-05-31,2024-06-01,201
Fields Fire,Winton,2024-05-31,2024-06-01,22
Ranch Fire,Oildale,2024-05-31,2024-06-01,616
Raymond Fire,Madera,2024-06-01,2024-06-02,27
Crystal Fire,Deer Park,2024-06-05,2024-06-08,60
Little Fire,South Dos Palos,2024-06-06,2024-06-06,34
Relay Fire,Beaumont,2024-06-06,2024-06-06,47
Gaskell Fire,Rosamond,2024-06-06,2024-06-07,403
Morgan Fire,Temecula,2024-06-07,2024-06-07,14
Poleline Fire,Los Banos,2024-06-07,2024-06-07,30
Creek Fire,Tehachapi,2024-06-09,2024-06-11,50
Cod Fire,Montague,2024-06-10,2024-06-13,28
Lincoln Fire,Lancaster,2024-06-11,2024-06-11,17
Post Fire,Lebec,2024-06-15,2024-06-26,15563
Junes Fire,Palermo,2024-06-15,2024-06-18,1056
Hernandez Fire,King City,2024-06-15,2024-06-20,642
Sioux Fire,Coarsegold,2024-06-15,2024-06-16,15
West Fire,Quartz Hill,2024-06-15,2024-06-15,300
Point Fire,Cloverdale,2024-06-16,2024-06-24,1207
Stage Fire,Terra Bella,2024-06-17,2024-06-17,81
Douglas Fire,Rancho Cordova,2024-06-17,2024-06-19,585
Sky Fire,Buttonwillow,2024-06-19,2024-06-19,528
Daytona Fire,Lamont,2024-06-19,2024-06-19,123
Kirk Fire,American Canyon,2024-06-20,2024-06-21,20
Double Fire,Challenge-Brownsville,2024-06-20,2024-06-23,13
Basalt Fire,Gustine,2024-06-21,2024-06-21,58
Water Fire,Lost Hills,2024-06-21,2024-06-21,546
Willow Fire,Yosemite Lakes,2024-06-22,2024-06-24,213
Valley Fire,Exeter,2024-06-22,2024-06-23,2
Willms Fire,East Oakdale,2024-06-24,2024-06-24,12
Amoruso Fire,Lincoln,2024-06-24,2024-06-25,438
Basin Fire,Squaw Valley,2024-06-26,2024-07-20,14023
Bar Fire ,Oroville,2024-06-27,2024-07-01,36
Creek Fire,Auburn Lake Trails,2024-06-29,2024-07-01,16
El Paso Fire,China Lake Acres,2024-06-29,2024-07-02,471
Sierra Fire ,Sunnyslope,2024-06-30,2024-07-01,400
Kitchen Fire,Campo,2024-07-01,2024-07-01,43
Kern Fire,Inyokern,2024-07-01,2024-07-01,15
Sunrise Fire,Littlerock,2024-07-01,2024-07-03,35
Bowman Fire,Inyokern,2024-07-02,2024-07-02,13
Luken Fire,Good Hope,2024-07-02,2024-07-03,18
Power Fire,Lamont,2024-07-02,2024-07-03,200
Little Fire,South Dos Palos,2024-07-03,2024-07-03,11
Sonora Fire ,Phelan,2024-07-04,2024-07-05,5
Lake Fire,Los Olivos,2024-07-05,2024-08-04,38664
Lucerne Fire,Lucerne Valley,2024-07-06,2024-07-08,419
North Fire,Alturas,2024-07-07,2024-07-14,4685
Bogus Fire,Montague,2024-07-08,2024-07-15,411
Pauba Fire,Temecula,2024-07-12,2024-07-14,101
Horse Fire (Previously 3-7),Burney,2024-07-13,2024-07-22,42
Quality Fire,Lone Pine,2024-07-13,2024-07-16,51
Laura Fire,Lake Isabella,2024-07-14,2024-07-19,77
Lost Hills Fire,Lost Hills,2024-07-14,2024-07-20,4032
5 Fire,Lost Hills,2024-07-15,2024-07-19,348
Hill Fire,Willow Creek,2024-07-16,2024-08-14,7224
Willow Fire,Rosamond,2024-07-16,2024-07-19,175
Sloane Fire,Harbison Canyon,2024-07-17,2024-07-19,14
Ducor 2 Fire,Terra Bella,2024-07-18,2024-07-20,142
Dorado Fire,Huron,2024-07-18,2024-07-20,43
Panoche Fire,South Dos Palos,2024-07-19,2024-07-19,37
Liberty Fire,Dogtown,2024-07-19,2024-07-20,104
Deer Fire,Palmdale,2024-07-19,2024-07-20,272
Abbey Fire,Mentone,2024-07-19,2024-07-21,10
Fork Fire,San Antonio Heights,2024-07-19,2024-07-28,301
Lehi Fire,Newcastle,2024-07-19,2024-07-21,9
Lookout Fire,Oakhurst,2024-07-19,2024-07-21,11
Tin Fire,El Cerrito Corona,2024-07-20,2024-07-21,125
Rios Fire,Laytonville,2024-07-20,2024-07-21,6
Coyote Fire,Rancho Calaveras,2024-07-20,2024-07-21,203
Hawarden Fire,Riverside,2024-07-21,2024-07-25,527
Canyon Fire,Patterson,2024-07-21,2024-07-25,15
Wasioja Fire,Taft Heights,2024-07-21,2024-07-23,70
Gold Complex,Portola,2024-07-22,2024-08-04,3007
Pencil Fire,Alturas,2024-07-22,2024-07-28,396
Maria Fire,San Andreas,2024-07-23,2024-07-28,71
Circle Fire,Coarsegold,2024-07-23,2024-07-25,49
Cow Camp Fire,Bridgeport,2024-07-23,2024-07-28,292
Harry Fire,Montague,2024-07-23,2024-07-25,10
Acres Fire,Madera Acres,2024-07-23,2024-07-25,10
Grove 2 Fire,Aguanga,2024-07-24,2024-07-28,863
Flora Fire,Windsor,2024-07-24,2024-07-28,36
Pentz Fire,Durham,2024-07-24,2024-07-25,40
Acorn Fire,Nice,2024-07-25,2024-07-28,151
Lawton Fire,Loma Linda,2024-07-25,2024-07-25,17
Macy Fire,Lakeland Village,2024-07-25,2024-07-28,145
Flynn Fire,Livermore,2024-07-25,2024-07-28,389
Cosgrove Fire,Valley Springs,2024-07-27,2024-07-28,12
Riley Fire,Brooktrails,2024-07-27,2024-07-31,12
Simpson Fire,Big Pine,2024-07-25,2024-09-02,47
Cougar Fire,Rancho Tehama Reserve,2024-07-29,2024-07-31,9
Italian Fire,Auberry,2024-07-29,2024-11-03,46
Eagle Fire,San Miguel,2024-07-30,2024-07-31,11
Borel Fire,Bodfish,2024-07-24,2024-09-16,59288
Pole Fire,Apple Valley,2024-07-30,2024-08-22,300
Burbank Fire ,Encino,2024-08-03,2024-08-04,75
Morrison Fire,Yosemite Valley,2024-08-04,2024-09-20,30
Canyon Fire,Tuolumne City,2024-08-08,2024-08-23,80
Lower Fire,Shasta,2024-08-10,2024-08-14,110
Blue Fire,Tehachapi,2024-08-10,2024-08-14,427
Reservoir Fire,Clearlake,2024-08-12,2024-08-14,68
Anita Fire,Rancho San Diego,2024-08-12,2024-08-15,20
Queenstone Fire,Lucas Valley-Marinwood,2024-08-13,2024-08-15,18
Quarry Fire,Twain Harte,2023-09-09,2023-11-15,9130
Papa Fire,Camp Pendleton North,2024-08-13,2024-08-18,60
Moon Fire,Glendora,2024-08-13,2024-08-14,15
Kahlon Fire,Chowchilla,2024-08-13,2024-08-13,17
Bruns Fire,Byron,2024-08-14,2024-08-14,25
White Fire,Cabazon,2024-08-14,2024-08-18,13
Marco Fire,Mountain View Acres,2024-08-16,2024-08-18,65
Livermore Fire,Livermore,2024-08-19,2024-08-19,16
Bishop Fire,San Luis Obispo,2024-08-20,2024-08-20,15
Grade Fire,Buellton,2024-08-20,2024-08-22,25
Canyon Fire,Sunland,2024-08-21,2024-08-23,25
Refugio Fire,Santa Ynez,2024-08-23,2024-08-26,86
Motor Fire,Lebec,2024-08-23,2024-08-23,11
Proctor 8 Fire,Jamul,2024-08-23,2024-08-26,27
Benito Fire,Mendota,2024-08-24,2024-08-24,17
Summit Fire ,Oak Hills,2024-08-24,2024-08-25,76
Wild Wash Fire,Silver Lakes,2024-08-24,2024-08-25,23
Solar Fire,Gustine,2024-08-25,2024-08-25,22
Excelsior Fire,Rancho Cordova,2024-08-26,2024-08-26,38
Pioneer Fire,Lucerne Valley,2024-08-27,2024-08-28,22
Johnson Fire,Phelan,2024-08-27,2024-08-30,15
Keys Fire,Hidden Meadows,2024-08-28,2024-08-30,18
Gulch Fire,Temelec,2024-08-28,2024-08-30,19
Silver Fire,Buckhorn,2024-08-28,2024-08-30,12
Way Fire,Wofford Heights,2024-08-29,2024-08-29,88
Two Fire,Cotati,2024-08-29,2024-08-30,33
Vasco Fire,Livermore,2024-08-29,2024-09-01,16
High Fire,Rancho Tehama Reserve,2024-08-31,2024-09-04,45
Minton Fire,Homeland,2024-08-31,2024-09-02,22
Bichota Fire,Glendora,2024-08-31,2024-08-31,3
Union Fire,Shandon,2024-08-31,2024-08-31,11
Robert Fire,Green Valley,2024-09-01,2024-09-04,48
Record Fire,San Jacinto,2024-09-01,2024-09-05,517
Backus Fire,Rosamond,2024-09-03,2024-09-03,41
Post Fire,Good Hope,2024-09-04,2024-09-05,264
Pine Fire,Redwood Valley,2024-09-06,2024-09-10,18
Canary Fire,Camp Pendleton North,2024-09-06,2024-02-25,25
Roblar Fire ,Camp Pendleton North,2024-09-07,2024-09-11,1000
Mill Creek 4 Fire,Willow Creek,2024-09-07,2024-09-12,25
Boyles Fire,Lower Lake,2024-09-08,2024-09-11,81
Wicklow Fire,Sutter Creek,2024-09-09,2024-09-11,63
Airport Fire,Trabuco Canyon,2024-09-09,2024-10-05,23526
Train Fire,Bear Valley Springs,2024-09-09,2024-09-10,48
Apollo Fire,Green Valley,2024-09-10,2024-09-10,800
Willow Fire,Bay Point,2024-09-11,2024-09-11,62
Cougar Fire,Black Point-Green Point,2024-09-15,2024-09-16,53
Ripple Fire,Squaw Valley,2024-09-15,2024-09-15,15
Rosa Fire,Lompoc,2024-09-16,2024-09-16,20
Phelps Fire,Coalinga,2024-09-19,2024-09-20,35
Antonio Fire,Petaluma,2024-09-23,2024-09-24,11
Plymire Fire,Red Bluff,2024-09-26,2024-09-26,14
Meiss Fire,Rancho Murieta,2024-09-27,2024-09-29,42
Pinnacles Fire,Soledad,2024-09-27,2024-09-28,17
86 Fire,Mecca,2024-09-27,2024-09-29,38
Chase Fire ,Lamont,2024-09-27,2024-09-28,35
Cindy Fire ,Vincent,2024-09-28,2024-09-29,13
Lago Fire,Castaic,2024-10-02,2024-10-06,25
Bear Fire,Redway,2024-10-02,2024-10-09,23
Glenhaven Fire,Clearlake Oaks,2024-10-04,2024-10-09,417
Ruby Fire,Mojave,2024-10-04,2024-10-05,50
Central 2 Fire,Del Rey,2024-10-04,2024-10-04,15
Wolf Fire,Del Rey,2024-10-04,2024-10-05,22
Two Mile Fire,Williams,2024-10-03,2024-10-04,10
Tuledad Fire,Johnstonville,2024-10-06,2024-10-08,420
Verjeles Fire,Loma Rica,2024-10-06,2024-10-07,12
Wood Fire,Redway,2024-10-06,2024-10-09,26
Posta 3 Fire,Campo,2024-10-07,2024-10-08,413
Bahrman Fire,Anza,2024-10-09,2024-10-10,110
Shoe Fire,Bella Vista,2024-10-09,2024-11-09,5124
Jack Fire,Beaumont,2024-10-13,2024-10-15,260
Snake Fire,Santa Margarita,2024-10-17,2024-10-17,8
Maria Fire,Santa Maria,2024-10-17,2024-10-17,80
Hay Fire,Dixon,2024-10-18,2024-10-22,869
Keller Fire,San Leandro,2024-10-18,2024-10-20,15
Mission Fire,Rubidoux,2024-10-18,2024-10-19,17
162 Fire,Willows,2024-10-19,2024-10-19,60
Alray Fire,Oak Hills,2024-10-26,2024-10-27,16
Campbell Fire,East Porterville,2024-10-28,2024-10-30,524
Quarry Fire,La Presa,2024-10-31,2024-10-31,10
Montezuma Fire,Lemon Grove,2024-10-31,2024-11-03,37
Gaylord Fire,Corning,2024-11-03,2024-11-03,47
Wolf Fire,Banning,2024-11-04,2024-11-08,25
Lake Fire,Hayfork,2024-11-05,2024-11-11,44
Valley Fire,Anderson,2024-11-06,2024-11-08,11
Frenchman Fire,Castaic,2024-11-07,2024-11-10,94
Santa Lucia Fire,Vandenberg Village,2024-11-07,2024-11-12,125
Waucoba Fire,Big Pine,2024-11-11,2024-11-12,8
John Fire,South Dos Palos,2024-11-14,2024-11-15,13
Kamm Fire,Mendota,2024-11-16,2024-11-16,10
Sandy Fire,San Miguel,2024-11-17,2024-11-18,23
Broadway Fire,King City,2024-11-21,2024-11-23,57
Franklin Fire,Las Flores,2024-12-09,2024-12-18,4037
Addie Fire,Buttonwillow,2024-12-14,2024-12-15,30
Soto Fire,Sunnyslope,2024-12-17,2024-12-18,25
Palisades Fire,Topanga,2025-01-07,2025-01-31,23707
Eaton Fire,Sierra Madre,2025-01-07,2025-01-31,14021
Hurst Fire,San Fernando,2025-01-07,2025-01-16,799
Lidia Fire,Acton,2025-01-08,2025-01-11,395
Kenneth Fire,West Hills,2025-01-09,2025-01-12,1052
Archer Fire,San Fernando,2025-01-10,2025-01-10,19
Scout Fire,Rubidoux,2025-01-14,2025-01-14,2
Little Mountain Fire,Muscoy,2025-01-15,2025-01-16,34
Lilac Fire,Bonsall,2025-01-21,2025-01-22,85
Clay Fire,Pedley,2025-01-21,2025-01-25,39
Center Fire,Rancho Penasquitos,2025-01-22,2025-01-22,7
Sepulveda Fire,Sherman Oaks,2025-01-23,2025-01-24,45
Laguna Fire,Camarillo,2025-01-23,2025-01-26,83
Gilman Fire,La Jolla,2025-01-23,2025-01-24,2
Gibbel Fire,Hemet,2025-01-23,2025-01-24,15
Rosa Fire,Lost Hills,2025-01-29,2025-01-29,105
Penny Fire,Pine Valley,2025-02-26,2025-02-27,9
Scout Fire,Julian,2025-02-28,2025-02-28,39
Ranch Fire,Adelanto,2025-03-08,2025-03-09,60
Range Fire,Vandenberg Space Force Base,2025-03-12,2025-03-12,14
